minecraft:acacia_button                           | [block] "Acacia Button"
minecraft:blackstone                              | [block] "Blackstone"
minecraft:blackstone_slab                         | [block] "Blackstone Slab"
minecraft:blackstone_stairs                       | [block] "Blackstone Stairs"
minecraft:blackstone_wall                         | [block] "Blackstone Wall"
minecraft:blast_furnace                           | [block] "Blast Furnace"
minecraft:blue_banner                             | [block] "Blue Banner"
minecraft:blue_bed                                | [block] "Blue Bed"
minecraft:blue_candle                             | [block] "Blue Candle"
minecraft:blue_candle_cake                        | [block] "Cake with Blue Candle"
minecraft:blue_carpet                             | [block] "Blue Carpet"
minecraft:blue_concrete                           | [block] "Blue Concrete"
minecraft:blue_concrete_powder                    | [block] "Blue Concrete Powder"
minecraft:blue_glazed_terracotta                  | [block] "Blue Glazed Terracotta"
minecraft:blue_ice                                | [block] "Blue Ice"
minecraft:blue_orchid                             | [block] "Blue Orchid"
minecraft:blue_shulker_box                        | [block] "Blue Shulker Box"
minecraft:blue_stained_glass                      | [block] "Blue Stained Glass"
minecraft:blue_stained_glass_pane                 | [block] "Blue Stained Glass Pane"
minecraft:blue_terracotta                         | [block] "Blue Terracotta"
minecraft:blue_wool                               | [block] "Blue Wool"
minecraft:bone_block                              | [block] "Bone Block"
minecraft:bookshelf                               | [block] "Bookshelf"
minecraft:brain_coral                             | [block] "Brain Coral"
minecraft:brain_coral_block                       | [block] "Brain Coral Block"
minecraft:brain_coral_fan                         | [block] "Brain Coral Fan"
minecraft:brain_coral_wall_fan                    | [block] "Brain Coral Wall Fan"
minecraft:brewing_stand                           | [block] "Brewing Stand"
minecraft:brick_slab                              | [block] "Brick Slab"
minecraft:brick_stairs                            | [block] "Brick Stairs"
minecraft:brick_wall                              | [block] "Brick Wall"
minecraft:bricks                                  | [block] "Bricks"
minecraft:brown_banner                            | [block] "Brown Banner"
minecraft:brown_bed                               | [block] "Brown Bed"
minecraft:brown_candle                            | [block] "Brown Candle"
minecraft:brown_candle_cake                       | [block] "Cake with Brown Candle"
minecraft:brown_carpet                            | [block] "Brown Carpet"
minecraft:brown_concrete                          | [block] "Brown Concrete"
minecraft:brown_concrete_powder                   | [block] "Brown Concrete Powder"
minecraft:brown_glazed_terracotta                 | [block] "Brown Glazed Terracotta"
minecraft:brown_mushroom                          | [block] "Brown Mushroom"
minecraft:brown_mushroom_block                    | [block] "Brown Mushroom Block"
minecraft:brown_shulker_box                       | [block] "Brown Shulker Box"
minecraft:brown_stained_glass                     | [block] "Brown Stained Glass"
minecraft:brown_stained_glass_pane                | [block] "Brown Stained Glass Pane"
minecraft:brown_terracotta                        | [block] "Brown Terracotta"
minecraft:brown_wool                              | [block] "Brown Wool"
minecraft:bubble_column                           | [block] "Bubble Column"
minecraft:bubble_coral                            | [block] "Bubble Coral"
minecraft:bubble_coral_block                      | [block] "Bubble Coral Block"
minecraft:bubble_coral_fan                        | [block] "Bubble Coral Fan"
minecraft:bubble_coral_wall_fan                   | [block] "Bubble Coral Wall Fan"
minecraft:budding_amethyst                        | [block] "Budding Amethyst"
minecraft:bush                                    | [block] "Bush"
minecraft:cactus                                  | [block] "Cactus"
minecraft:cactus_flower                           | [block] "Cactus Flower"
minecraft:cake                                    | [block] "Cake"
minecraft:calcite                                 | [block] "Calcite"
minecraft:calibrated_sculk_sensor                 | [block] "Calibrated Sculk Sensor"
minecraft:campfire                                | [block] "Campfire"
minecraft:candle                                  | [block] "Candle"
minecraft:candle_cake                             | [block] "Cake with Candle"
minecraft:carrots                                 | [block] "Carrots"
minecraft:cartography_table                       | [block] "Cartography Table"
minecraft:carved_pumpkin                          | [block] "Carved Pumpkin"
minecraft:cauldron                                | [block] "Cauldron"
minecraft:cave_air                                | [block] "Cave Air"
minecraft:cave_vines                              | [block] "Cave Vines"
minecraft:cave_vines_plant                        | [block] "Cave Vines Plant"
minecraft:chain                                   | [block] "Chain"
minecraft:chain_command_block                     | [block] "Chain Command Block"
minecraft:cherry_button                           | [block] "Cherry Button"
minecraft:cherry_door                             | [block] "Cherry Door"
minecraft:cherry_fence                            | [block] "Cherry Fence"
minecraft:cherry_fence_gate                       | [block] "Cherry Fence Gate"
minecraft:cherry_hanging_sign                     | [block] "Cherry Hanging Sign"
minecraft:cherry_leaves                           | [block] "Cherry Leaves"
minecraft:cherry_log                              | [block] "Cherry Log"
minecraft:cherry_planks                           | [block] "Cherry Planks"
minecraft:cherry_pressure_plate                   | [block] "Cherry Pressure Plate"
minecraft:cherry_sapling                          | [block] "Cherry Sapling"
minecraft:cherry_sign                             | [block] "Cherry Sign"
minecraft:cherry_slab                             | [block] "Cherry Slab"
minecraft:cherry_stairs                           | [block] "Cherry Stairs"
minecraft:cherry_trapdoor                         | [block] "Cherry Trapdoor"
minecraft:cherry_wall_hanging_sign                | [block] "Cherry Wall Hanging Sign"
minecraft:cherry_wall_sign                        | [block] "Cherry Wall Sign"
minecraft:cherry_wood                             | [block] "Cherry Wood"
minecraft:chest                                   | [block] "Chest"
minecraft:chipped_anvil                           | [block] "Chipped Anvil"
minecraft:chiseled_bookshelf                      | [block] "Chiseled Bookshelf"
minecraft:chiseled_copper                         | [block] "Chiseled Copper"
minecraft:chiseled_deepslate                      | [block] "Chiseled Deepslate"
minecraft:chiseled_nether_bricks                  | [block] "Chiseled Nether Bricks"
minecraft:chiseled_polished_blackstone            | [block] "Chiseled Polished Blackstone"
minecraft:chiseled_quartz_block                   | [block] "Chiseled Quartz Block"
minecraft:chiseled_red_sandstone                  | [block] "Chiseled Red Sandstone"
minecraft:chiseled_resin_bricks                   | [block] "Chiseled Resin Bricks"
minecraft:chiseled_sandstone                      | [block] "Chiseled Sandstone"
minecraft:chiseled_stone_bricks                   | [block] "Chiseled Stone Bricks"
minecraft:chiseled_tuff                           | [block] "Chiseled Tuff"
minecraft:chiseled_tuff_bricks                    | [block] "Chiseled Tuff Bricks"
minecraft:chorus_flower                           | [block] "Chorus Flower"
minecraft:chorus_plant                            | [block] "Chorus Plant"
minecraft:clay                                    | [block] "Clay"
minecraft:closed_eyeblossom                       | [block] "Closed Eyeblossom"
minecraft:coal_block                              | [block] "Block of Coal"
minecraft:coal_ore                                | [block] "Coal Ore"
minecraft:coarse_dirt                             | [block] "Coarse Dirt"
minecraft:cobbled_deepslate                       | [block] "Cobbled Deepslate"
minecraft:cobbled_deepslate_slab                  | [block] "Cobbled Deepslate Slab"
minecraft:cobbled_deepslate_stairs                | [block] "Cobbled Deepslate Stairs"
minecraft:cobbled_deepslate_wall                  | [block] "Cobbled Deepslate Wall"
minecraft:cobblestone                             | [block] "Cobblestone"
minecraft:cobblestone_slab                        | [block] "Cobblestone Slab"
minecraft:cobblestone_stairs                      | [block] "Cobblestone Stairs"
minecraft:cobblestone_wall                        | [block] "Cobblestone Wall"
minecraft:cobweb                                  | [block] "Cobweb"
minecraft:cocoa                                   | [block] "Cocoa"
minecraft:command_block                           | [block] "Command Block"
minecraft:comparator                              | [block] "Redstone Comparator"
minecraft:composter                               | [block] "Composter"
minecraft:conduit                                 | [block] "Conduit"
minecraft:copper_block                            | [block] "Block of Copper"
minecraft:copper_bulb                             | [block] "Copper Bulb"
minecraft:copper_door                             | [block] "Copper Door"
minecraft:copper_grate                            | [block] "Copper Grate"
minecraft:copper_ore                              | [block] "Copper Ore"
minecraft:copper_trapdoor                         | [block] "Copper Trapdoor"
minecraft:cornflower                              | [block] "Cornflower"
minecraft:cracked_deepslate_bricks                | [block] "Cracked Deepslate Bricks"
minecraft:cracked_deepslate_tiles                 | [block] "Cracked Deepslate Tiles"
minecraft:cracked_nether_bricks                   | [block] "Cracked Nether Bricks"
minecraft:cracked_polished_blackstone_bricks      | [block] "Cracked Polished Blackstone Bricks"
minecraft:cracked_stone_bricks                    | [block] "Cracked Stone Bricks"
minecraft:crafter                                 | [block] "Crafter"
minecraft:crafting_table                          | [block] "Crafting Table"
minecraft:creaking_heart                          | [block] "Creaking Heart"
minecraft:creeper_head                            | [block] "Creeper Head"
minecraft:creeper_wall_head                       | [block] "Creeper Wall Head"
minecraft:crimson_button                          | [block] "Crimson Button"
minecraft:crimson_door                            | [block] "Crimson Door"
minecraft:crimson_fence                           | [block] "Crimson Fence"
minecraft:crimson_fence_gate                      | [block] "Crimson Fence Gate"
minecraft:crimson_fungus                          | [block] "Crimson Fungus"
minecraft:crimson_hanging_sign                    | [block] "Crimson Hanging Sign"
minecraft:crimson_hyphae                          | [block] "Crimson Hyphae"
minecraft:crimson_nylium                          | [block] "Crimson Nylium"
minecraft:crimson_planks                          | [block] "Crimson Planks"
minecraft:crimson_pressure_plate                  | [block] "Crimson Pressure Plate"
minecraft:crimson_roots                           | [block] "Crimson Roots"
minecraft:crimson_sign                            | [block] "Crimson Sign"
minecraft:crimson_slab                            | [block] "Crimson Slab"
minecraft:crimson_stairs                          | [block] "Crimson Stairs"
minecraft:crimson_stem                            | [block] "Crimson Stem"
minecraft:crimson_trapdoor                        | [block] "Crimson Trapdoor"
minecraft:crimson_wall_hanging_sign               | [block] "Crimson Wall Hanging Sign"
minecraft:crimson_wall_sign                       | [block] "Crimson Wall Sign"
minecraft:crying_obsidian                         | [block] "Crying Obsidian"
minecraft:cut_copper                              | [block] "Cut Copper"
minecraft:cut_copper_slab                         | [block] "Cut Copper Slab"
minecraft:cut_copper_stairs                       | [block] "Cut Copper Stairs"
minecraft:cut_red_sandstone                       | [block] "Cut Red Sandstone"
minecraft:cut_red_sandstone_slab                  | [block] "Cut Red Sandstone Slab"
minecraft:cut_sandstone                           | [block] "Cut Sandstone"
minecraft:cut_sandstone_slab                      | [block] "Cut Sandstone Slab"
minecraft:cyan_banner                             | [block] "Cyan Banner"
minecraft:cyan_bed                                | [block] "Cyan Bed"
minecraft:cyan_candle                             | [block] "Cyan Candle"
minecraft:cyan_candle_cake                        | [block] "Cake with Cyan Candle"
minecraft:cyan_carpet                             | [block] "Cyan Carpet"
minecraft:cyan_concrete                           | [block] "Cyan Concrete"
minecraft:cyan_concrete_powder                    | [block] "Cyan Concrete Powder"
minecraft:cyan_glazed_terracotta                  | [block] "Cyan Glazed Terracotta"
minecraft:cyan_shulker_box                        | [block] "Cyan Shulker Box"
minecraft:cyan_stained_glass                      | [block] "Cyan Stained Glass"
minecraft:cyan_stained_glass_pane                 | [block] "Cyan Stained Glass Pane"
minecraft:cyan_terracotta                         | [block] "Cyan Terracotta"
minecraft:cyan_wool                               | [block] "Cyan Wool"
minecraft:damaged_anvil                           | [block] "Damaged Anvil"
minecraft:dandelion                               | [block] "Dandelion"
minecraft:dark_oak_button                         | [block] "Dark Oak Button"
minecraft:dark_oak_door                           | [block] "Dark Oak Door"
minecraft:dark_oak_fence                          | [block] "Dark Oak Fence"
minecraft:dark_oak_fence_gate                     | [block] "Dark Oak Fence Gate"
minecraft:dark_oak_hanging_sign                   | [block] "Dark Oak Hanging Sign"
minecraft:dark_oak_leaves                         | [block] "Dark Oak Leaves"
minecraft:dark_oak_log                            | [block] "Dark Oak Log"
minecraft:dark_oak_planks                         | [block] "Dark Oak Planks"
minecraft:dark_oak_pressure_plate                 | [block] "Dark Oak Pressure Plate"
minecraft:dark_oak_sapling                        | [block] "Dark Oak Sapling"
minecraft:dark_oak_sign                           | [block] "Dark Oak Sign"
minecraft:dark_oak_slab                           | [block] "Dark Oak Slab"
minecraft:dark_oak_stairs                         | [block] "Dark Oak Stairs"
minecraft:dark_oak_trapdoor                       | [block] "Dark Oak Trapdoor"
minecraft:dark_oak_wall_hanging_sign              | [block] "Dark Oak Wall Hanging Sign"
minecraft:dark_oak_wall_sign                      | [block] "Dark Oak Wall Sign"
minecraft:dark_oak_wood                           | [block] "Dark Oak Wood"
minecraft:dark_prismarine                         | [block] "Dark Prismarine"
minecraft:dark_prismarine_slab                    | [block] "Dark Prismarine Slab"
minecraft:dark_prismarine_stairs                  | [block] "Dark Prismarine Stairs"
minecraft:daylight_detector                       | [block] "Daylight Detector"
minecraft:dead_brain_coral                        | [block] "Dead Brain Coral"
minecraft:dead_brain_coral_block                  | [block] "Dead Brain Coral Block"
minecraft:dead_brain_coral_fan                    | [block] "Dead Brain Coral Fan"
minecraft:dead_brain_coral_wall_fan               | [block] "Dead Brain Coral Wall Fan"
minecraft:dead_bubble_coral                       | [block] "Dead Bubble Coral"
minecraft:dead_bubble_coral_block                 | [block] "Dead Bubble Coral Block"
minecraft:dead_bubble_coral_fan                   | [block] "Dead Bubble Coral Fan"
minecraft:dead_bubble_coral_wall_fan              | [block] "Dead Bubble Coral Wall Fan"
minecraft:dead_bush                               | [block] "Dead Bush"
minecraft:dead_fire_coral                         | [block] "Dead Fire Coral"
minecraft:dead_fire_coral_block                   | [block] "Dead Fire Coral Block"
minecraft:dead_fire_coral_fan                     | [block] "Dead Fire Coral Fan"
minecraft:dead_fire_coral_wall_fan                | [block] "Dead Fire Coral Wall Fan"
minecraft:dead_horn_coral                         | [block] "Dead Horn Coral"
minecraft:dead_horn_coral_block                   | [block] "Dead Horn Coral Block"
minecraft:dead_horn_coral_fan                     | [block] "Dead Horn Coral Fan"
minecraft:dead_horn_coral_wall_fan                | [block] "Dead Horn Coral Wall Fan"
minecraft:dead_tube_coral                         | [block] "Dead Tube Coral"
minecraft:dead_tube_coral_block                   | [block] "Dead Tube Coral Block"
minecraft:dead_tube_coral_fan                     | [block] "Dead Tube Coral Fan"
minecraft:dead_tube_coral_wall_fan                | [block] "Dead Tube Coral Wall Fan"
minecraft:decorated_pot                           | [block] "Decorated Pot"
minecraft:deepslate                               | [block] "Deepslate"
minecraft:deepslate_brick_slab                    | [block] "Deepslate Brick Slab"
minecraft:deepslate_brick_stairs                  | [block] "Deepslate Brick Stairs"
minecraft:deepslate_brick_wall                    | [block] "Deepslate Brick Wall"
minecraft:deepslate_bricks                        | [block] "Deepslate Bricks"
minecraft:deepslate_coal_ore                      | [block] "Deepslate Coal Ore"
minecraft:deepslate_copper_ore                    | [block] "Deepslate Copper Ore"
minecraft:deepslate_diamond_ore                   | [block] "Deepslate Diamond Ore"
minecraft:deepslate_emerald_ore                   | [block] "Deepslate Emerald Ore"
minecraft:deepslate_gold_ore                      | [block] "Deepslate Gold Ore"
minecraft:deepslate_iron_ore                      | [block] "Deepslate Iron Ore"
minecraft:deepslate_lapis_ore                     | [block] "Deepslate Lapis Lazuli Ore"
minecraft:deepslate_redstone_ore                  | [block] "Deepslate Redstone Ore"
minecraft:deepslate_tile_slab                     | [block] "Deepslate Tile Slab"
minecraft:deepslate_tile_stairs                   | [block] "Deepslate Tile Stairs"
minecraft:deepslate_tile_wall                     | [block] "Deepslate Tile Wall"
minecraft:deepslate_tiles                         | [block] "Deepslate Tiles"
minecraft:detector_rail                           | [block] "Detector Rail"
minecraft:diamond_block                           | [block] "Block of Diamond"
minecraft:diamond_ore                             | [block] "Diamond Ore"
minecraft:diorite                                 | [block] "Diorite"
minecraft:diorite_slab                            | [block] "Diorite Slab"
minecraft:diorite_stairs                          | [block] "Diorite Stairs"
minecraft:diorite_wall                            | [block] "Diorite Wall"
minecraft:dirt                                    | [block] "Dirt"
minecraft:dirt_path                               | [block] "Dirt Path"
minecraft:dispenser                               | [block] "Dispenser"
minecraft:dragon_egg                              | [block] "Dragon Egg"
minecraft:dragon_head                             | [block] "Dragon Head"
minecraft:dragon_wall_head                        | [block] "Dragon Wall Head"
minecraft:dried_kelp_block                        | [block] "Dried Kelp Block"
minecraft:dripstone_block                         | [block] "Dripstone Block"
minecraft:dropper                                 | [block] "Dropper"
minecraft:emerald_block                           | [block] "Block of Emerald"
minecraft:emerald_ore                             | [block] "Emerald Ore"
minecraft:enchanting_table                        | [block] "Enchanting Table"
minecraft:end_gateway                             | [block] "End Gateway"
minecraft:end_portal                              | [block] "End Portal"
minecraft:end_portal_frame                        | [block] "End Portal Frame"
minecraft:end_rod                                 | [block] "End Rod"
minecraft:end_stone                               | [block] "End Stone"
minecraft:end_stone_brick_slab                    | [block] "End Stone Brick Slab"
minecraft:end_stone_brick_stairs                  | [block] "End Stone Brick Stairs"
minecraft:end_stone_brick_wall                    | [block] "End Stone Brick Wall"
minecraft:end_stone_bricks                        | [block] "End Stone Bricks"
minecraft:ender_chest                             | [block] "Ender Chest"
minecraft:exposed_chiseled_copper                 | [block] "Exposed Chiseled Copper"
minecraft:exposed_copper                          | [block] "Exposed Copper"
minecraft:exposed_copper_bulb                     | [block] "Exposed Copper Bulb"
minecraft:exposed_copper_door                     | [block] "Exposed Copper Door"
minecraft:exposed_copper_grate                    | [block] "Exposed Copper Grate"
minecraft:exposed_copper_trapdoor                 | [block] "Exposed Copper Trapdoor"
minecraft:exposed_cut_copper                      | [block] "Exposed Cut Copper"
minecraft:exposed_cut_copper_slab                 | [block] "Exposed Cut Copper Slab"
minecraft:exposed_cut_copper_stairs               | [block] "Exposed Cut Copper Stairs"
minecraft:farmland                                | [block] "Farmland"
minecraft:fern                                    | [block] "Fern"
minecraft:fire                                    | [block] "Fire"
minecraft:fire_coral                              | [block] "Fire Coral"
minecraft:fire_coral_block                        | [block] "Fire Coral Block"
minecraft:fire_coral_fan                          | [block] "Fire Coral Fan"
minecraft:fire_coral_wall_fan                     | [block] "Fire Coral Wall Fan"
minecraft:firefly_bush                            | [block] "Firefly Bush"
minecraft:fletching_table                         | [block] "Fletching Table"
minecraft:flower_pot                              | [block] "Flower Pot"
minecraft:flowering_azalea                        | [block] "Flowering Azalea"
minecraft:flowering_azalea_leaves                 | [block] "Flowering Azalea Leaves"
minecraft:frogspawn                               | [block] "Frogspawn"
minecraft:frosted_ice                             | [block] "Frosted Ice"
minecraft:furnace                                 | [block] "Furnace"
minecraft:gilded_blackstone                       | [block] "Gilded Blackstone"
minecraft:glass                                   | [block] "Glass"
minecraft:glass_pane                              | [block] "Glass Pane"
minecraft:glow_lichen                             | [block] "Glow Lichen"
minecraft:glowstone                               | [block] "Glowstone"
minecraft:gold_block                              | [block] "Block of Gold"
minecraft:gold_ore                                | [block] "Gold Ore"
minecraft:granite                                 | [block] "Granite"
minecraft:granite_slab                            | [block] "Granite Slab"
minecraft:granite_stairs                          | [block] "Granite Stairs"
minecraft:granite_wall                            | [block] "Granite Wall"
minecraft:grass                                   | [block] "Grass"
minecraft:grass_block                             | [block] "Grass Block"
minecraft:gravel                                  | [block] "Gravel"
minecraft:gray_banner                             | [block] "Gray Banner"
minecraft:gray_bed                                | [block] "Gray Bed"
minecraft:gray_candle                             | [block] "Gray Candle"
minecraft:gray_candle_cake                        | [block] "Cake with Gray Candle"
minecraft:gray_carpet                             | [block] "Gray Carpet"
minecraft:gray_concrete                           | [block] "Gray Concrete"
minecraft:gray_concrete_powder                    | [block] "Gray Concrete Powder"
minecraft:gray_glazed_terracotta                  | [block] "Gray Glazed Terracotta"
minecraft:gray_shulker_box                        | [block] "Gray Shulker Box"
minecraft:gray_stained_glass                      | [block] "Gray Stained Glass"
minecraft:gray_stained_glass_pane                 | [block] "Gray Stained Glass Pane"
minecraft:gray_terracotta                         | [block] "Gray Terracotta"
minecraft:gray_wool                               | [block] "Gray Wool"
minecraft:green_banner                            | [block] "Green Banner"
minecraft:green_bed                               | [block] "Green Bed"
minecraft:green_candle                            | [block] "Green Candle"
minecraft:green_candle_cake                       | [block] "Cake with Green Candle"
minecraft:green_carpet                            | [block] "Green Carpet"
minecraft:green_concrete                          | [block] "Green Concrete"
minecraft:green_concrete_powder                   | [block] "Green Concrete Powder"
minecraft:green_glazed_terracotta                 | [block] "Green Glazed Terracotta"
minecraft:green_shulker_box                       | [block] "Green Shulker Box"
minecraft:green_stained_glass                     | [block] "Green Stained Glass"
minecraft:green_stained_glass_pane                | [block] "Green Stained Glass Pane"
minecraft:green_terracotta                        | [block] "Green Terracotta"
minecraft:green_wool                              | [block] "Green Wool"
minecraft:grindstone                              | [block] "Grindstone"
minecraft:hanging_roots                           | [block] "Hanging Roots"
minecraft:hay_block                               | [block] "Hay Bale"
minecraft:heavy_core                              | [block] "Heavy Core"
minecraft:heavy_weighted_pressure_plate           | [block] "Heavy Weighted Pressure Plate"
minecraft:honey_block                             | [block] "Honey Block"
minecraft:honeycomb_block                         | [block] "Honeycomb Block"
minecraft:hopper                                  | [block] "Hopper"
minecraft:horn_coral                              | [block] "Horn Coral"
minecraft:horn_coral_block                        | [block] "Horn Coral Block"
minecraft:horn_coral_fan                          | [block] "Horn Coral Fan"
minecraft:horn_coral_wall_fan                     | [block] "Horn Coral Wall Fan"
minecraft:ice                                     | [block] "Ice"
minecraft:infested_chiseled_stone_bricks          | [block] "Infested Chiseled Stone Bricks"
minecraft:infested_cobblestone                    | [block] "Infested Cobblestone"
minecraft:infested_cracked_stone_bricks           | [block] "Infested Cracked Stone Bricks"
minecraft:infested_deepslate                      | [block] "Infested Deepslate"
minecraft:infested_mossy_stone_bricks             | [block] "Infested Mossy Stone Bricks"
minecraft:infested_stone                          | [block] "Infested Stone"
minecraft:infested_stone_bricks                   | [block] "Infested Stone Bricks"
minecraft:iron_bars                               | [block] "Iron Bars"
minecraft:iron_block                              | [block] "Block of Iron"
minecraft:iron_door                               | [block] "Iron Door"
minecraft:iron_ore                                | [block] "Iron Ore"
minecraft:iron_trapdoor                           | [block] "Iron Trapdoor"
minecraft:jack_o_lantern                          | [block] "Jack o'Lantern"
minecraft:jigsaw                                  | [block] "Jigsaw Block"
minecraft:jukebox                                 | [block] "Jukebox"
minecraft:jungle_button                           | [block] "Jungle Button"
minecraft:jungle_door                             | [block] "Jungle Door"
minecraft:jungle_fence                            | [block] "Jungle Fence"
minecraft:jungle_fence_gate                       | [block] "Jungle Fence Gate"
minecraft:jungle_hanging_sign                     | [block] "Jungle Hanging Sign"
minecraft:jungle_leaves                           | [block] "Jungle Leaves"
minecraft:jungle_log                              | [block] "Jungle Log"
minecraft:jungle_planks                           | [block] "Jungle Planks"
minecraft:jungle_pressure_plate                   | [block] "Jungle Pressure Plate"
minecraft:jungle_sapling                          | [block] "Jungle Sapling"
minecraft:jungle_sign                             | [block] "Jungle Sign"
minecraft:jungle_slab                             | [block] "Jungle Slab"
minecraft:jungle_stairs                           | [block] "Jungle Stairs"
minecraft:jungle_trapdoor                         | [block] "Jungle Trapdoor"
minecraft:jungle_wall_hanging_sign                | [block] "Jungle Wall Hanging Sign"
minecraft:jungle_wall_sign                        | [block] "Jungle Wall Sign"
minecraft:jungle_wood                             | [block] "Jungle Wood"
minecraft:kelp                                    | [block] "Kelp"
minecraft:kelp_plant                              | [block] "Kelp Plant"
minecraft:ladder                                  | [block] "Ladder"
minecraft:lantern                                 | [block] "Lantern"
minecraft:lapis_block                             | [block] "Block of Lapis Lazuli"
