minecraft:acacia_button                           | [block] "Acacia Button"
minecraft:banner                                  | [block] "Pink Field Masoned"
minecraft:banner                                  | [block] "Purple Field Masoned"
minecraft:banner                                  | [block] "Red Field Masoned"
minecraft:banner                                  | [block] "White Field Masoned"
minecraft:banner                                  | [block] "Yellow Field Masoned"
minecraft:banner                                  | [block] "Black Roundel"
minecraft:banner                                  | [block] "Blue Roundel"
minecraft:banner                                  | [block] "Brown Roundel"
minecraft:banner                                  | [block] "Cyan Roundel"
minecraft:banner                                  | [block] "Gray Roundel"
minecraft:banner                                  | [block] "Green Roundel"
minecraft:banner                                  | [block] "Light Blue Roundel"
minecraft:banner                                  | [block] "Light Gray Roundel"
minecraft:banner                                  | [block] "Lime Roundel"
minecraft:banner                                  | [block] "Magenta Roundel"
minecraft:banner                                  | [block] "Orange Roundel"
minecraft:banner                                  | [block] "Pink Roundel"
minecraft:banner                                  | [block] "Purple Roundel"
minecraft:banner                                  | [block] "Red Roundel"
minecraft:banner                                  | [block] "White Roundel"
minecraft:banner                                  | [block] "Yellow Roundel"
minecraft:banner                                  | [block] "Black Creeper Charge"
minecraft:banner                                  | [block] "Blue Creeper Charge"
minecraft:banner                                  | [block] "Brown Creeper Charge"
minecraft:banner                                  | [block] "Cyan Creeper Charge"
minecraft:banner                                  | [block] "Gray Creeper Charge"
minecraft:banner                                  | [block] "Green Creeper Charge"
minecraft:banner                                  | [block] "Light Blue Creeper Charge"
minecraft:banner                                  | [block] "Light Gray Creeper Charge"
minecraft:banner                                  | [block] "Lime Creeper Charge"
minecraft:banner                                  | [block] "Magenta Creeper Charge"
minecraft:banner                                  | [block] "Orange Creeper Charge"
minecraft:banner                                  | [block] "Pink Creeper Charge"
minecraft:banner                                  | [block] "Purple Creeper Charge"
minecraft:banner                                  | [block] "Red Creeper Charge"
minecraft:banner                                  | [block] "White Creeper Charge"
minecraft:banner                                  | [block] "Yellow Creeper Charge"
minecraft:banner                                  | [block] "Black Saltire"
minecraft:banner                                  | [block] "Blue Saltire"
minecraft:banner                                  | [block] "Brown Saltire"
minecraft:banner                                  | [block] "Cyan Saltire"
minecraft:banner                                  | [block] "Gray Saltire"
minecraft:banner                                  | [block] "Green Saltire"
minecraft:banner                                  | [block] "Light Blue Saltire"
minecraft:banner                                  | [block] "Light Gray Saltire"
minecraft:banner                                  | [block] "Lime Saltire"
minecraft:banner                                  | [block] "Magenta Saltire"
minecraft:banner                                  | [block] "Orange Saltire"
minecraft:banner                                  | [block] "Pink Saltire"
minecraft:banner                                  | [block] "Purple Saltire"
minecraft:banner                                  | [block] "Red Saltire"
minecraft:banner                                  | [block] "White Saltire"
minecraft:banner                                  | [block] "Yellow Saltire"
minecraft:banner                                  | [block] "Black Bordure Indented"
minecraft:banner                                  | [block] "Blue Bordure Indented"
minecraft:banner                                  | [block] "Brown Bordure Indented"
minecraft:banner                                  | [block] "Cyan Bordure Indented"
minecraft:banner                                  | [block] "Gray Bordure Indented"
minecraft:banner                                  | [block] "Green Bordure Indented"
minecraft:banner                                  | [block] "Light Blue Bordure Indented"
minecraft:banner                                  | [block] "Light Gray Bordure Indented"
minecraft:banner                                  | [block] "Lime Bordure Indented"
minecraft:banner                                  | [block] "Magenta Bordure Indented"
minecraft:banner                                  | [block] "Orange Bordure Indented"
minecraft:banner                                  | [block] "Pink Bordure Indented"
minecraft:banner                                  | [block] "Purple Bordure Indented"
minecraft:banner                                  | [block] "Red Bordure Indented"
minecraft:banner                                  | [block] "White Bordure Indented"
minecraft:banner                                  | [block] "Yellow Bordure Indented"
minecraft:banner                                  | [block] "Black Per Bend Sinister"
minecraft:banner                                  | [block] "Blue Per Bend Sinister"
minecraft:banner                                  | [block] "Brown Per Bend Sinister"
minecraft:banner                                  | [block] "Cyan Per Bend Sinister"
minecraft:banner                                  | [block] "Gray Per Bend Sinister"
minecraft:banner                                  | [block] "Green Per Bend Sinister"
minecraft:banner                                  | [block] "Light Blue Per Bend Sinister"
minecraft:banner                                  | [block] "Light Gray Per Bend Sinister"
minecraft:banner                                  | [block] "Lime Per Bend Sinister"
minecraft:banner                                  | [block] "Magenta Per Bend Sinister"
minecraft:banner                                  | [block] "Orange Per Bend Sinister"
minecraft:banner                                  | [block] "Pink Per Bend Sinister"
minecraft:banner                                  | [block] "Purple Per Bend Sinister"
minecraft:banner                                  | [block] "Red Per Bend Sinister"
minecraft:banner                                  | [block] "White Per Bend Sinister"
minecraft:banner                                  | [block] "Yellow Per Bend Sinister"
minecraft:banner                                  | [block] "Black Per Bend"
minecraft:banner                                  | [block] "Blue Per Bend"
minecraft:banner                                  | [block] "Brown Per Bend"
minecraft:banner                                  | [block] "Cyan Per Bend"
minecraft:banner                                  | [block] "Gray Per Bend"
minecraft:banner                                  | [block] "Green Per Bend"
minecraft:banner                                  | [block] "Light Blue Per Bend"
minecraft:banner                                  | [block] "Light Gray Per Bend"
minecraft:banner                                  | [block] "Lime Per Bend"
minecraft:banner                                  | [block] "Magenta Per Bend"
minecraft:banner                                  | [block] "Orange Per Bend"
minecraft:banner                                  | [block] "Pink Per Bend"
minecraft:banner                                  | [block] "Purple Per Bend"
minecraft:banner                                  | [block] "Red Per Bend"
minecraft:banner                                  | [block] "White Per Bend"
minecraft:banner                                  | [block] "Yellow Per Bend"
minecraft:banner                                  | [block] "Black Per Bend Inverted"
minecraft:banner                                  | [block] "Blue Per Bend Inverted"
minecraft:banner                                  | [block] "Brown Per Bend Inverted"
minecraft:banner                                  | [block] "Cyan Per Bend Inverted"
minecraft:banner                                  | [block] "Gray Per Bend Inverted"
minecraft:banner                                  | [block] "Green Per Bend Inverted"
minecraft:banner                                  | [block] "Light Blue Per Bend Inverted"
minecraft:banner                                  | [block] "Light Gray Per Bend Inverted"
minecraft:banner                                  | [block] "Lime Per Bend Inverted"
minecraft:banner                                  | [block] "Magenta Per Bend Inverted"
minecraft:banner                                  | [block] "Orange Per Bend Inverted"
minecraft:banner                                  | [block] "Pink Per Bend Inverted"
minecraft:banner                                  | [block] "Purple Per Bend Inverted"
minecraft:banner                                  | [block] "Red Per Bend Inverted"
minecraft:banner                                  | [block] "White Per Bend Inverted"
minecraft:banner                                  | [block] "Yellow Per Bend Inverted"
minecraft:banner                                  | [block] "Black Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Blue Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Brown Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Cyan Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Gray Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Green Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Light Blue Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Light Gray Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Lime Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Magenta Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Orange Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Pink Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Purple Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Red Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "White Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Yellow Per Bend Sinister Inverted"
minecraft:banner                                  | [block] "Black Flow"
minecraft:banner                                  | [block] "Blue Flow"
minecraft:banner                                  | [block] "Brown Flow"
minecraft:banner                                  | [block] "Cyan Flow"
minecraft:banner                                  | [block] "Gray Flow"
minecraft:banner                                  | [block] "Green Flow"
minecraft:banner                                  | [block] "Light Blue Flow"
minecraft:banner                                  | [block] "Light Gray Flow"
minecraft:banner                                  | [block] "Lime Flow"
minecraft:banner                                  | [block] "Magenta Flow"
minecraft:banner                                  | [block] "Orange Flow"
minecraft:banner                                  | [block] "Pink Flow"
minecraft:banner                                  | [block] "Purple Flow"
minecraft:banner                                  | [block] "Red Flow"
minecraft:banner                                  | [block] "White Flow"
minecraft:banner                                  | [block] "Yellow Flow"
minecraft:banner                                  | [block] "Black Flower Charge"
minecraft:banner                                  | [block] "Blue Flower Charge"
minecraft:banner                                  | [block] "Brown Flower Charge"
minecraft:banner                                  | [block] "Cyan Flower Charge"
minecraft:banner                                  | [block] "Gray Flower Charge"
minecraft:banner                                  | [block] "Green Flower Charge"
minecraft:banner                                  | [block] "Light Blue Flower Charge"
minecraft:banner                                  | [block] "Light Gray Flower Charge"
minecraft:banner                                  | [block] "Lime Flower Charge"
minecraft:banner                                  | [block] "Magenta Flower Charge"
minecraft:banner                                  | [block] "Orange Flower Charge"
minecraft:banner                                  | [block] "Pink Flower Charge"
minecraft:banner                                  | [block] "Purple Flower Charge"
minecraft:banner                                  | [block] "Red Flower Charge"
minecraft:banner                                  | [block] "White Flower Charge"
minecraft:banner                                  | [block] "Yellow Flower Charge"
minecraft:banner                                  | [block] "Black Globe"
minecraft:banner                                  | [block] "Blue Globe"
minecraft:banner                                  | [block] "Brown Globe"
minecraft:banner                                  | [block] "Cyan Globe"
minecraft:banner                                  | [block] "Gray Globe"
minecraft:banner                                  | [block] "Green Globe"
minecraft:banner                                  | [block] "Light Blue Globe"
minecraft:banner                                  | [block] "Light Gray Globe"
minecraft:banner                                  | [block] "Lime Globe"
minecraft:banner                                  | [block] "Magenta Globe"
minecraft:banner                                  | [block] "Orange Globe"
minecraft:banner                                  | [block] "Pink Globe"
minecraft:banner                                  | [block] "Purple Globe"
minecraft:banner                                  | [block] "Red Globe"
minecraft:banner                                  | [block] "White Globe"
minecraft:banner                                  | [block] "Yellow Globe"
minecraft:banner                                  | [block] "Black Base Gradient"
minecraft:banner                                  | [block] "Blue Base Gradient"
minecraft:banner                                  | [block] "Brown Base Gradient"
minecraft:banner                                  | [block] "Cyan Base Gradient"
minecraft:banner                                  | [block] "Gray Base Gradient"
minecraft:banner                                  | [block] "Green Base Gradient"
minecraft:banner                                  | [block] "Light Blue Base Gradient"
minecraft:banner                                  | [block] "Light Gray Base Gradient"
minecraft:banner                                  | [block] "Lime Base Gradient"
minecraft:banner                                  | [block] "Magenta Base Gradient"
minecraft:banner                                  | [block] "Orange Base Gradient"
minecraft:banner                                  | [block] "Pink Base Gradient"
minecraft:banner                                  | [block] "Purple Base Gradient"
minecraft:banner                                  | [block] "Red Base Gradient"
minecraft:banner                                  | [block] "White Base Gradient"
minecraft:banner                                  | [block] "Yellow Base Gradient"
minecraft:banner                                  | [block] "Black Gradient"
minecraft:banner                                  | [block] "Blue Gradient"
minecraft:banner                                  | [block] "Brown Gradient"
minecraft:banner                                  | [block] "Cyan Gradient"
minecraft:banner                                  | [block] "Gray Gradient"
minecraft:banner                                  | [block] "Green Gradient"
minecraft:banner                                  | [block] "Light Blue Gradient"
minecraft:banner                                  | [block] "Light Gray Gradient"
minecraft:banner                                  | [block] "Lime Gradient"
minecraft:banner                                  | [block] "Magenta Gradient"
minecraft:banner                                  | [block] "Orange Gradient"
minecraft:banner                                  | [block] "Pink Gradient"
minecraft:banner                                  | [block] "Purple Gradient"
minecraft:banner                                  | [block] "Red Gradient"
minecraft:banner                                  | [block] "White Gradient"
minecraft:banner                                  | [block] "Yellow Gradient"
minecraft:banner                                  | [block] "Black Guster"
minecraft:banner                                  | [block] "Blue Guster"
minecraft:banner                                  | [block] "Brown Guster"
minecraft:banner                                  | [block] "Cyan Guster"
minecraft:banner                                  | [block] "Gray Guster"
minecraft:banner                                  | [block] "Green Guster"
minecraft:banner                                  | [block] "Light Blue Guster"
minecraft:banner                                  | [block] "Light Gray Guster"
minecraft:banner                                  | [block] "Lime Guster"
minecraft:banner                                  | [block] "Magenta Guster"
minecraft:banner                                  | [block] "Orange Guster"
minecraft:banner                                  | [block] "Pink Guster"
minecraft:banner                                  | [block] "Purple Guster"
minecraft:banner                                  | [block] "Red Guster"
minecraft:banner                                  | [block] "White Guster"
minecraft:banner                                  | [block] "Yellow Guster"
minecraft:banner                                  | [block] "Black Per Fess Inverted"
minecraft:banner                                  | [block] "Blue Per Fess Inverted"
minecraft:banner                                  | [block] "Brown Per Fess Inverted"
minecraft:banner                                  | [block] "Cyan Per Fess Inverted"
minecraft:banner                                  | [block] "Gray Per Fess Inverted"
minecraft:banner                                  | [block] "Green Per Fess Inverted"
minecraft:banner                                  | [block] "Light Blue Per Fess Inverted"
minecraft:banner                                  | [block] "Light Gray Per Fess Inverted"
minecraft:banner                                  | [block] "Lime Per Fess Inverted"
minecraft:banner                                  | [block] "Magenta Per Fess Inverted"
minecraft:banner                                  | [block] "Orange Per Fess Inverted"
minecraft:banner                                  | [block] "Pink Per Fess Inverted"
minecraft:banner                                  | [block] "Purple Per Fess Inverted"
minecraft:banner                                  | [block] "Red Per Fess Inverted"
minecraft:banner                                  | [block] "White Per Fess Inverted"
minecraft:banner                                  | [block] "Yellow Per Fess Inverted"
minecraft:banner                                  | [block] "Black Per Fess"
minecraft:banner                                  | [block] "Blue Per Fess"
minecraft:banner                                  | [block] "Brown Per Fess"
minecraft:banner                                  | [block] "Cyan Per Fess"
minecraft:banner                                  | [block] "Gray Per Fess"
minecraft:banner                                  | [block] "Green Per Fess"
minecraft:banner                                  | [block] "Light Blue Per Fess"
minecraft:banner                                  | [block] "Light Gray Per Fess"
minecraft:banner                                  | [block] "Lime Per Fess"
minecraft:banner                                  | [block] "Magenta Per Fess"
minecraft:banner                                  | [block] "Orange Per Fess"
minecraft:banner                                  | [block] "Pink Per Fess"
minecraft:banner                                  | [block] "Purple Per Fess"
minecraft:banner                                  | [block] "Red Per Fess"
minecraft:banner                                  | [block] "White Per Fess"
minecraft:banner                                  | [block] "Yellow Per Fess"
minecraft:banner                                  | [block] "Black Per Pale Inverted"
minecraft:banner                                  | [block] "Blue Per Pale Inverted"
minecraft:banner                                  | [block] "Brown Per Pale Inverted"
minecraft:banner                                  | [block] "Cyan Per Pale Inverted"
minecraft:banner                                  | [block] "Gray Per Pale Inverted"
minecraft:banner                                  | [block] "Green Per Pale Inverted"
minecraft:banner                                  | [block] "Light Blue Per Pale Inverted"
minecraft:banner                                  | [block] "Light Gray Per Pale Inverted"
minecraft:banner                                  | [block] "Lime Per Pale Inverted"
minecraft:banner                                  | [block] "Magenta Per Pale Inverted"
minecraft:banner                                  | [block] "Orange Per Pale Inverted"
minecraft:banner                                  | [block] "Pink Per Pale Inverted"
minecraft:banner                                  | [block] "Purple Per Pale Inverted"
minecraft:banner                                  | [block] "Red Per Pale Inverted"
minecraft:banner                                  | [block] "White Per Pale Inverted"
minecraft:banner                                  | [block] "Yellow Per Pale Inverted"
minecraft:banner                                  | [block] "Black Per Pale"
minecraft:banner                                  | [block] "Blue Per Pale"
minecraft:banner                                  | [block] "Brown Per Pale"
minecraft:banner                                  | [block] "Cyan Per Pale"
minecraft:banner                                  | [block] "Gray Per Pale"
minecraft:banner                                  | [block] "Green Per Pale"
minecraft:banner                                  | [block] "Light Blue Per Pale"
minecraft:banner                                  | [block] "Light Gray Per Pale"
minecraft:banner                                  | [block] "Lime Per Pale"
minecraft:banner                                  | [block] "Magenta Per Pale"
minecraft:banner                                  | [block] "Orange Per Pale"
minecraft:banner                                  | [block] "Pink Per Pale"
minecraft:banner                                  | [block] "Purple Per Pale"
minecraft:banner                                  | [block] "Red Per Pale"
minecraft:banner                                  | [block] "White Per Pale"
minecraft:banner                                  | [block] "Yellow Per Pale"
minecraft:banner                                  | [block] "Black Thing"
minecraft:banner                                  | [block] "Blue Thing"
minecraft:banner                                  | [block] "Brown Thing"
minecraft:banner                                  | [block] "Cyan Thing"
minecraft:banner                                  | [block] "Gray Thing"
minecraft:banner                                  | [block] "Green Thing"
minecraft:banner                                  | [block] "Light Blue Thing"
minecraft:banner                                  | [block] "Light Gray Thing"
minecraft:banner                                  | [block] "Lime Thing"
minecraft:banner                                  | [block] "Magenta Thing"
minecraft:banner                                  | [block] "Orange Thing"
minecraft:banner                                  | [block] "Pink Thing"
minecraft:banner                                  | [block] "Purple Thing"
minecraft:banner                                  | [block] "Red Thing"
minecraft:banner                                  | [block] "White Thing"
minecraft:banner                                  | [block] "Yellow Thing"
minecraft:banner                                  | [block] "Black Snout"
minecraft:banner                                  | [block] "Blue Snout"
minecraft:banner                                  | [block] "Brown Snout"
minecraft:banner                                  | [block] "Cyan Snout"
minecraft:banner                                  | [block] "Gray Snout"
minecraft:banner                                  | [block] "Green Snout"
minecraft:banner                                  | [block] "Light Blue Snout"
minecraft:banner                                  | [block] "Light Gray Snout"
minecraft:banner                                  | [block] "Lime Snout"
minecraft:banner                                  | [block] "Magenta Snout"
minecraft:banner                                  | [block] "Orange Snout"
minecraft:banner                                  | [block] "Pink Snout"
minecraft:banner                                  | [block] "Purple Snout"
minecraft:banner                                  | [block] "Red Snout"
minecraft:banner                                  | [block] "White Snout"
minecraft:banner                                  | [block] "Yellow Snout"
minecraft:banner                                  | [block] "Black Lozenge"
minecraft:banner                                  | [block] "Blue Lozenge"
minecraft:banner                                  | [block] "Brown Lozenge"
minecraft:banner                                  | [block] "Cyan Lozenge"
minecraft:banner                                  | [block] "Gray Lozenge"
minecraft:banner                                  | [block] "Green Lozenge"
minecraft:banner                                  | [block] "Light Blue Lozenge"
minecraft:banner                                  | [block] "Light Gray Lozenge"
minecraft:banner                                  | [block] "Lime Lozenge"
minecraft:banner                                  | [block] "Magenta Lozenge"
minecraft:banner                                  | [block] "Orange Lozenge"
minecraft:banner                                  | [block] "Pink Lozenge"
minecraft:banner                                  | [block] "Purple Lozenge"
minecraft:banner                                  | [block] "Red Lozenge"
minecraft:banner                                  | [block] "White Lozenge"
minecraft:banner                                  | [block] "Yellow Lozenge"
minecraft:banner                                  | [block] "Black Skull Charge"
minecraft:banner                                  | [block] "Blue Skull Charge"
minecraft:banner                                  | [block] "Brown Skull Charge"
minecraft:banner                                  | [block] "Cyan Skull Charge"
minecraft:banner                                  | [block] "Gray Skull Charge"
minecraft:banner                                  | [block] "Green Skull Charge"
minecraft:banner                                  | [block] "Light Blue Skull Charge"
minecraft:banner                                  | [block] "Light Gray Skull Charge"
minecraft:banner                                  | [block] "Lime Skull Charge"
minecraft:banner                                  | [block] "Magenta Skull Charge"
minecraft:banner                                  | [block] "Orange Skull Charge"
minecraft:banner                                  | [block] "Pink Skull Charge"
minecraft:banner                                  | [block] "Purple Skull Charge"
minecraft:banner                                  | [block] "Red Skull Charge"
minecraft:banner                                  | [block] "White Skull Charge"
minecraft:banner                                  | [block] "Yellow Skull Charge"
minecraft:banner                                  | [block] "Black Paly"
minecraft:banner                                  | [block] "Blue Paly"
minecraft:banner                                  | [block] "Brown Paly"
minecraft:banner                                  | [block] "Cyan Paly"
minecraft:banner                                  | [block] "Gray Paly"
minecraft:banner                                  | [block] "Green Paly"
minecraft:banner                                  | [block] "Light Blue Paly"
minecraft:banner                                  | [block] "Light Gray Paly"
minecraft:banner                                  | [block] "Lime Paly"
minecraft:banner                                  | [block] "Magenta Paly"
minecraft:banner                                  | [block] "Orange Paly"
minecraft:banner                                  | [block] "Pink Paly"
minecraft:banner                                  | [block] "Purple Paly"
minecraft:banner                                  | [block] "Red Paly"
minecraft:banner                                  | [block] "White Paly"
minecraft:banner                                  | [block] "Yellow Paly"
minecraft:banner                                  | [block] "Black Base Dexter Canton"
minecraft:banner                                  | [block] "Blue Base Dexter Canton"
minecraft:banner                                  | [block] "Brown Base Dexter Canton"
minecraft:banner                                  | [block] "Cyan Base Dexter Canton"
minecraft:banner                                  | [block] "Gray Base Dexter Canton"
minecraft:banner                                  | [block] "Green Base Dexter Canton"
minecraft:banner                                  | [block] "Light Blue Base Dexter Canton"
minecraft:banner                                  | [block] "Light Gray Base Dexter Canton"
minecraft:banner                                  | [block] "Lime Base Dexter Canton"
minecraft:banner                                  | [block] "Magenta Base Dexter Canton"
minecraft:banner                                  | [block] "Orange Base Dexter Canton"
minecraft:banner                                  | [block] "Pink Base Dexter Canton"
minecraft:banner                                  | [block] "Purple Base Dexter Canton"
minecraft:banner                                  | [block] "Red Base Dexter Canton"
minecraft:banner                                  | [block] "White Base Dexter Canton"
minecraft:banner                                  | [block] "Yellow Base Dexter Canton"
minecraft:banner                                  | [block] "Black Base Sinister Canton"
minecraft:banner                                  | [block] "Blue Base Sinister Canton"
minecraft:banner                                  | [block] "Brown Base Sinister Canton"
minecraft:banner                                  | [block] "Cyan Base Sinister Canton"
minecraft:banner                                  | [block] "Gray Base Sinister Canton"
minecraft:banner                                  | [block] "Green Base Sinister Canton"
minecraft:banner                                  | [block] "Light Blue Base Sinister Canton"
minecraft:banner                                  | [block] "Light Gray Base Sinister Canton"
minecraft:banner                                  | [block] "Lime Base Sinister Canton"
minecraft:banner                                  | [block] "Magenta Base Sinister Canton"
minecraft:banner                                  | [block] "Orange Base Sinister Canton"
minecraft:banner                                  | [block] "Pink Base Sinister Canton"
minecraft:banner                                  | [block] "Purple Base Sinister Canton"
minecraft:banner                                  | [block] "Red Base Sinister Canton"
minecraft:banner                                  | [block] "White Base Sinister Canton"
minecraft:banner                                  | [block] "Yellow Base Sinister Canton"
minecraft:banner                                  | [block] "Black Chief Dexter Canton"
minecraft:banner                                  | [block] "Blue Chief Dexter Canton"
minecraft:banner                                  | [block] "Brown Chief Dexter Canton"
minecraft:banner                                  | [block] "Cyan Chief Dexter Canton"
minecraft:banner                                  | [block] "Gray Chief Dexter Canton"
minecraft:banner                                  | [block] "Green Chief Dexter Canton"
minecraft:banner                                  | [block] "Light Blue Chief Dexter Canton"
minecraft:banner                                  | [block] "Light Gray Chief Dexter Canton"
minecraft:banner                                  | [block] "Lime Chief Dexter Canton"
minecraft:banner                                  | [block] "Magenta Chief Dexter Canton"
minecraft:banner                                  | [block] "Orange Chief Dexter Canton"
minecraft:banner                                  | [block] "Pink Chief Dexter Canton"
minecraft:banner                                  | [block] "Purple Chief Dexter Canton"
minecraft:banner                                  | [block] "Red Chief Dexter Canton"
minecraft:banner                                  | [block] "White Chief Dexter Canton"
minecraft:banner                                  | [block] "Yellow Chief Dexter Canton"
minecraft:banner                                  | [block] "Black Chief Sinister Canton"
minecraft:banner                                  | [block] "Blue Chief Sinister Canton"
minecraft:banner                                  | [block] "Brown Chief Sinister Canton"
minecraft:banner                                  | [block] "Cyan Chief Sinister Canton"
minecraft:banner                                  | [block] "Gray Chief Sinister Canton"
minecraft:banner                                  | [block] "Green Chief Sinister Canton"
minecraft:banner                                  | [block] "Light Blue Chief Sinister Canton"
minecraft:banner                                  | [block] "Light Gray Chief Sinister Canton"
minecraft:banner                                  | [block] "Lime Chief Sinister Canton"
minecraft:banner                                  | [block] "Magenta Chief Sinister Canton"
